µĄÖÜ2000ŇÔÉĎµăĘýµÄµĄÇú,,,,,
Points,Artist(s),Song,Volume,Ranking,Week(s)
3081.23,Taylor Swift,The Fate of Ophelia,2025-10-17,1,2
2915.13,Taylor Swift,The Fate of Ophelia,2025-10-24,1,3
2823.11,Lady Gaga & Bruno Mars,Die With A Smile,2024-08-30,1,2
2731.53,Taylor Swift,The Fate of Ophelia,2025-10-10,1,1
2689.92,Lady Gaga & Bruno Mars,Die With A Smile,2024-09-06,1,3
2638.26,Chappell Roan,The Subway,2025-08-08,1,1
2626.32,Tate McRae,Sports car,2025-02-28,1,1
2597.96,Lady Gaga,Abracadabra,2025-02-14,1,2
2587.56,Lady Gaga & Bruno Mars,Die With A Smile,2024-09-13,1,4
2569.79,ROS? & Bruno Mars,APT.,2024-10-25,1,1
2560.57,Taylor Swift,The Fate of Ophelia,2025-10-31,1,4
2501.86,Taylor Swift & Post Malone,Fortnight,2024-04-26,1,1
2501.79,ROS? & Bruno Mars,APT.,2024-11-01,1,2
2423.69,HAIM,Relationships,2025-07-04,1,12
2415.53,HAIM,Relationships,2025-04-25,1,6
2392.75,HAIM,Relationships,2025-04-11,1,4
2391.19,ROS? & Bruno Mars,APT.,2024-11-08,1,3
2388.86,Lady Gaga & Bruno Mars,Die With A Smile,2024-08-23,1,1
2376.09,HAIM,Relationships,2025-03-28,1,2
2370.47,Lady Gaga,Abracadabra,2025-03-14,1,6
2370.21,Lady Gaga,Abracadabra,2025-02-21,1,3
2348.64,HAIM,Relationships,2025-06-27,1,11
2336.91,Lady Gaga,Abracadabra,2025-02-07,1,1
2316.92,Kendrick Lamar & SZA,luther,2025-02-14,2,1
2315.62,HAIM,Relationships,2025-03-21,1,1
2315.25,Kali Uchis,Sunshine & Rain...,2025-05-16,1,2
2313.85,Tate McRae,Sports car,2025-03-28,2,4
2301.78,Lady Gaga,Abracadabra,2025-02-28,2,4
2291.17,Lorde,What Was That,2025-05-02,1,1
2284.21,HAIM,Relationships,2025-05-02,2,7
2273.17,HAIM,Relationships,2025-04-18,1,5
2266.71,Tate McRae,Sports car,2025-03-07,1,2
2241.48,Tate McRae,Sports car,2025-04-04,1,5
2236.99,Lady Gaga & Bruno Mars,Die With A Smile,2024-09-20,1,5
2236.70,Lady Gaga & Bruno Mars,Die With A Smile,2024-09-27,1,6
2223.06,Kendrick Lamar & SZA,luther,2025-02-21,2,2
2212.40,HAIM,Relationships,2025-04-04,2,3
2197.75,Taylor Swift,The Fate of Ophelia,2025-11-07,1,5
2195.96,ROS? & Bruno Mars,APT.,2024-11-15,1,4
2180.55,Chappell Roan,The Subway,2025-08-15,1,2
2178.37,Tate McRae,sports car,2025-03-21,2,3
2119.56,HAIM,Relationships,2025-07-11,1,13
2109.72,Billie Eilish,BIRDS OF A FEATHER,2024-10-11,1,2
2109.16,Taylor Swift,The Fate of Ophelia,2025-11-14,1,6
2099.40,Lady Gaga & Bruno Mars,Die With A Smile,2024-10-04,1,7
2092.15,Ariana Grande,"yes, and?",2024-01-19,1,1
2089.86,Billie Eilish,BIRDS OF A FEATHER,2024-09-27,2,1
2087.76,HAIM,Relationships,2025-05-30,1,10
2074.86,Kali Uchis,Sunshine & Rain...,2025-05-23,1,3
2072.62,Kali Uchis,Sunshine & Rain...,2025-05-30,2,4
2064.98,HAIM,Relationships,2025-05-09,1,8
2061.90,Lady Gaga,Abracadabra,2025-03-21,3,7
2040.79,Sabrina Carpenter,Espresso,2024-06-14,1,1
2032.31,HAIM,Relationships,2025-05-16,2,9
2031.84,Sabrina Carpenter,Espresso,2024-06-21,1,2
2027.00,Kali Uchis,Sunshine & Rain...,2025-05-02,3,1
2026.40,Ariana Grande,"yes, and?",2024-03-15,1,2
2022.75,Sabrina Carpenter,Espresso,2024-07-05,1,3
2019.15,Alex Warren,FEVER DREAM,2026-04-17,1,1
2016.83,Lady Gaga,Abracadabra,2025-03-07,2,5
2010.88,Doja Cat,Jealous Type,2025-10-03,1,1
2001.49,Lady Gaga & Bruno Mars,Die With A Smile,2024-10-11,2,8
