number,artist,song,volumes,owners
5,"Linda Lampenius, Pete Parkkonen",Liekinheitin,2026-05-15,邓 笃 韩 S 雨
4,Billie Eilish,BIRDS OF A FEATHER,2024-06-21,团 威 柠 T
4,Lady Gaga & Bruno Mars,Die With A Smile,2024-09-06,团 威 包 醉
4,Tate McRae,Sports car,2025-03-07,S 文 圈 韩
4,Lady Gaga,Shadow of a Man,2025-03-14,醉 威 兔 柠
4,Taylor Swift,The Fate of Ophelia,2025-10-17,晕 文 锴 柠
4,"Linda Lampenius, Pete Parkkonen",Liekinheitin,2026-03-06,韩 鸣 X 雨
4,Alex Warren,FEVER DREAM,2026-04-24,韩 柠 泰 雨
4,Olivia Rodrigo,drop dead,2026-04-24,S 海 杰 文
3,Ariana Grande,"yes, and?",2024-01-19,S 团 锴
3,Baby Lasagna,Rim Tim Tagi Dim,2024-05-17,S 韩 雨
3,Baby Lasagna,Rim Tim Tagi Dim,2024-05-24,S 韩 雨
3,Billie Eilish,BIRDS OF A FEATHER,2024-06-14,威 柠 团
3,Billie Eilish,BIRDS OF A FEATHER,2024-07-05,威 柠 星
3,Lady Gaga & Bruno Mars,Die With A Smile,2024-08-30,威 团 醉
3,Billie Eilish,BIRDS OF A FEATHER,2024-09-27,威 柠 韩
3,Chappell Roan,Pink Pony Club,2025-02-07,羊 柠 文
3,Lady Gaga,Abracadabra,2025-02-14,威 团 星
3,Lady Gaga,Abracadabra,2025-02-21,威 团 柠
3,Kendrick Lamar & SZA,luther,2025-02-21,醉 兔 布
3,Kendrick Lamar & SZA,luther,2025-02-28,醉 兔 米
3,Tate McRae,Sports car,2025-02-28,文 圈 韩
3,HAIM,Relationships,2025-03-21,羊 杰 波
3,HAIM,Relationships,2025-04-25,团 T P
3,HAIM,Relationships,2025-05-02,团 T P
3,HAIM,Relationships,2025-05-23,团 T P
3,Chappell Roan,The Subway,2025-08-08,文 威 海
3,ROSALÍA,Reliquia,2025-11-14,T 杰 海
3,Taylor Swift,Opalite,2026-02-06,波 叉 文
3,Alex Warren,FEVER DREAM,2026-03-20,柠 雨 邓
3,Alex Warren,FEVER DREAM,2026-04-03,柠 雨 泰
3,Alex Warren,FEVER DREAM,2026-04-10,柠 雨 叉
3,Alex Warren,FEVER DREAM,2026-04-17,柠 雨 邓
3,Dara,Bangaranga,2026-05-22,雨 邓 白